Report Number,Occur Date,UCR Literal,Latitude,Longitude,Month,Year,Zipcode
193640980,12/30/2019,LARCENY-NON VEHICLE,33.846759999999996,-84.36211999999999,12,2019,30326
193641087,12/20/2019,LARCENY-NON VEHICLE,33.840309999999995,-84.37588000000001,12,2019,30305
193641517,12/30/2019,LARCENY-NON VEHICLE,33.77469,-84.36561,12,2019,30308
193641807,12/30/2019,LARCENY-NON VEHICLE,33.75504,-84.41457,12,2019,30313
193641916,12/30/2019,LARCENY-NON VEHICLE,33.74179,-84.40844,12,2019,30303
193640642,12/30/2019,LARCENY-NON VEHICLE,33.72405,-84.46186,12,2019,30311
193650489,12/30/2019,LARCENY-NON VEHICLE,33.75042,-84.39733000000001,12,2019,30303
193651657,12/31/2019,LARCENY-NON VEHICLE,33.760529999999996,-84.3422,12,2019,30307
193651031,12/31/2019,LARCENY-NON VEHICLE,33.74179,-84.34973000000001,12,2019,30316
193650281,12/29/2019,LARCENY-NON VEHICLE,33.68783,-84.40888000000001,12,2019,30315
193650870,12/31/2019,LARCENY-NON VEHICLE,33.68092,-84.40814,12,2019,30354
193651019,12/31/2019,LARCENY-NON VEHICLE,33.77828,-84.4091,12,2019,30363
193651039,12/31/2019,LARCENY-NON VEHICLE,33.838879999999996,-84.37995,12,2019,30305
193651333,12/31/2019,LARCENY-NON VEHICLE,33.76686,-84.34915,12,2019,30307
193651929,12/23/2019,LARCENY-NON VEHICLE,33.851659999999995,-84.36235,12,2019,30326
193652232,12/31/2019,LARCENY-NON VEHICLE,33.75504,-84.41457,12,2019,30313
193650136,12/30/2019,LARCENY-NON VEHICLE,33.77407,-84.38526,12,2019,30308
193650682,12/31/2019,LARCENY-NON VEHICLE,33.753659999999996,-84.39047,12,2019,30303
193650802,12/31/2019,LARCENY-NON VEHICLE,33.70047,-84.42239000000001,12,2019,30344
193651005,12/29/2019,LARCENY-NON VEHICLE,33.69497,-84.52017,12,2019,30331
193651496,12/30/2019,LARCENY-NON VEHICLE,33.74279,-84.40104000000001,12,2019,30303
193652279,12/31/2019,LARCENY-NON VEHICLE,33.76614,-84.3876,12,2019,30308
193650010,12/30/2019,ROBBERY-PEDESTRIAN,33.84473,-84.36721,12,2019,30326
193651618,12/31/2019,ROBBERY-PEDESTRIAN,33.71552,-84.34952,12,2019,30316
193652097,12/31/2019,ROBBERY-PEDESTRIAN,33.77223,-84.37463000000001,12,2019,30308
193650313,12/31/2019,HOMICIDE,33.82377,-84.3519,12,2019,30324
193650354,12/30/2019,AUTO THEFT,33.77258,-84.37904,12,2019,30308
193650430,12/30/2019,AUTO THEFT,33.8149,-84.43385,12,2019,30318
193650475,12/31/2019,AUTO THEFT,33.68016,-84.36809000000001,12,2019,30315
193650555,12/31/2019,AUTO THEFT,33.775490000000005,-84.50924,12,2019,30126
193650576,12/31/2019,AUTO THEFT,33.69869,-84.48265,12,2019,30311
193650647,12/31/2019,AUTO THEFT,33.71076,-84.4438,12,2019,30310
193650835,12/31/2019,AUTO THEFT,33.82002,-84.38776,12,2019,30309
193651223,12/31/2019,AUTO THEFT,33.8195,-84.35199,12,2019,30324
193651305,12/31/2019,AUTO THEFT,33.74145,-84.50673,12,2019,30311
193650759,12/31/2019,AUTO THEFT,33.76905,-84.46544,12,2019,30318
193650407,12/31/2019,BURGLARY-NONRES,33.80358,-84.3927,12,2019,30309
193650949,12/4/2019,LARCENY-NON VEHICLE,33.80856,-84.37505999999999,12,2019,30309
193651219,12/20/2019,LARCENY-NON VEHICLE,33.77989,-84.38898,12,2019,30308
193650877,12/28/2019,BURGLARY-RESIDENCE,33.70823,-84.35911999999999,12,2019,30315
193650712,12/30/2019,LARCENY-FROM VEHICLE,33.83483,-84.36312,12,2019,30305
193650854,12/24/2019,LARCENY-FROM VEHICLE,33.67413,-84.40803000000001,12,2019,30354
193651196,12/23/2019,LARCENY-FROM VEHICLE,33.674620000000004,-84.40782,12,2019,30354
193650004,12/30/2019,LARCENY-FROM VEHICLE,33.77975,-84.38698000000001,12,2019,30308
193650031,12/30/2019,LARCENY-FROM VEHICLE,33.76403,-84.35081,12,2019,30307
193650039,12/30/2019,LARCENY-FROM VEHICLE,33.79282,-84.35257,12,2019,30306
193650056,12/24/2019,LARCENY-FROM VEHICLE,33.811479999999996,-84.35523,12,2019,30324
193650156,12/30/2019,LARCENY-FROM VEHICLE,33.810970000000005,-84.39154,12,2019,30309
193650234,12/30/2019,LARCENY-FROM VEHICLE,33.84186,-84.36446,12,2019,30326
193650406,12/31/2019,LARCENY-FROM VEHICLE,33.69549,-84.52088,12,2019,30331
193650417,12/30/2019,LARCENY-FROM VEHICLE,33.77823,-84.37971,12,2019,30308
193650464,12/30/2019,LARCENY-FROM VEHICLE,33.74167,-84.43782,12,2019,30310
193650568,12/30/2019,LARCENY-FROM VEHICLE,33.778909999999996,-84.37143,12,2019,30308
193650800,12/30/2019,LARCENY-FROM VEHICLE,33.777840000000005,-84.37266,12,2019,30308
193650987,12/31/2019,LARCENY-FROM VEHICLE,33.7387,-84.33251,12,2019,30316
193651001,12/31/2019,LARCENY-FROM VEHICLE,33.78409,-84.38353000000001,12,2019,30308
193651599,12/15/2019,LARCENY-FROM VEHICLE,33.71245,-84.45685999999999,12,2019,30311
193651605,12/31/2019,LARCENY-FROM VEHICLE,33.74964,-84.40132,12,2019,30303
193651845,12/31/2019,LARCENY-FROM VEHICLE,33.75667,-84.3639,12,2019,30308
193652247,12/31/2019,LARCENY-FROM VEHICLE,33.78192,-84.3841,12,2019,30308
193652287,12/31/2019,LARCENY-FROM VEHICLE,33.7921,-84.39466,12,2019,30363
193642145,12/30/2019,LARCENY-FROM VEHICLE,33.78455,-84.41141999999999,12,2019,30363
193652089,12/31/2019,AGG ASSAULT,33.75486,-84.43287,12,2019,30314
193650336,12/31/2019,AGG ASSAULT,33.83732,-84.3786,12,2019,30305
193650603,12/31/2019,AGG ASSAULT,33.73636,-84.4368,12,2019,30310
193651760,12/31/2019,AGG ASSAULT,33.73483,-84.4375,12,2019,30310
193652591,12/31/2019,AGG ASSAULT,33.72518,-84.45013,12,2019,30311
